ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=Product Manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101633916, radiusInKms=40.2335}]}}, facets={experienceLevels={selectedValues=[MID_SENIOR_LEVEL, DIRECTOR, EXECUTIVE]}}}",4115567265
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=WEEKLY}","{spellCheckEnabled=true, keywords=Product Manager, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101633916, radiusInKms=40.2335}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}}}",1739200642
